code,dL,strip_adj,cong_adj,reinst_adj,total_adj
19-3033.00,-0.0002769440125979628,-1.0220087708646068,0.3288342128551833,0.02771903283548216,-0.6654555251739414
19-3034.00,-0.0001780697428029391,-0.7157512389225973,0.19707771584148226,0.025513108245375893,-0.49316041483573914
19-3039.02,-6.728645641729668e-05,-1.2782277585785535,0.3298802737584161,0.04003503692340349,-0.9083124478967339
19-3039.03,-5.252154746949768e-05,-1.1023966483311307,0.2739612299107539,0.0425053639565216,-0.7859300544638552
19-3041.00,-1.5619186083646448e-05,-1.54435850092678,0.5583617100717198,0.014341532767965237,-0.971655258087095
19-3051.00,-0.00021401157655478428,-2.292823706231488,0.8544258367885529,0.06717061093833365,-1.371227258504601
19-3091.00,-3.772913358260243e-05,-1.6118361359053566,0.45923799771881546,0.028275225747537824,-1.1243229124390033
19-3092.00,-7.17477932440325e-06,-2.237315424824574,0.6246471583406481,0.02590262176468494,-1.5867656447192409
19-3093.00,-1.2616979291522168e-05,-0.7653741516644201,-0.2450017229074506,0.021232320656570547,-0.9891435539153002
19-3094.00,-2.904264111062181e-05,-1.724778606235922,0.856996962780749,0.015999883952616756,-0.8517817595025563
19-3099.01,-0.00016335522806550762,-2.0162992517593787,0.6581189966782863,0.05699309029839217,-1.3011871647827
19-4012.00,-3.261698257473431e-05,-0.694533245020514,0.13160179267929228,0.024568848630682538,-0.5383626037105391
19-4012.01,-5.563168684138281e-05,-1.215628256886577,0.4027267139425246,0.029624212772177305,-0.7832773301718752
19-4013.00,-4.783199466901741e-05,-0.5230029621235937,0.1786397323862312,0.010493196424455675,-0.33387003331290677
19-4021.00,-0.000256751027872054,-0.9100305872007359,0.22780856507477276,0.0279525010363999,-0.6542695210895633
19-4031.00,-0.0001764486085901304,-0.7950953214270231,0.32421412317131315,0.02297253122698173,-0.4479086670287282
19-4042.00,-0.00011963512857372399,-1.0199439490627968,0.23329569324361543,0.03406032125644742,-0.752587934562734
19-4051.02,-1.1821551957079449e-05,-0.4922456388333871,0.10971510813643759,0.020689366164790446,-0.3618411645321591
19-4061.00,-0.00011243369168329733,-1.2312205330444663,0.3653064059594411,0.029783589798094035,-0.8361305372869312
19-4071.00,-4.879956479998069e-05,-0.628036282627336,0.14520656735765414,0.02634572536152291,-0.45648398990815897
19-4092.00,-5.29689727441553e-05,-0.8087613531103703,0.20035481399197907,0.025777970204962752,-0.5826285689134285
19-4099.01,-0.00034546599007624374,-1.1969204806840827,0.5332966861893702,0.01722643658135148,-0.6463973579133611
19-4099.03,-0.00018174558430602615,-0.7615010171728493,0.3137438394860115,0.024582500616530112,-0.42317467707030776
19-5011.00,-0.0004622208805452722,-1.3832909505500357,0.3613984565865147,0.05002170445903564,-0.9718707895044854
19-5012.00,-0.00011844859711271224,-1.139499098759026,0.46441030082921486,0.017635028543977693,-0.6574537693858336
21-1012.00,0.00025616307327574594,-0.15072914997788622,-0.030316634345206595,0.02805037380213271,-0.1529954105209601
21-1013.00,-0.0001688774529110642,-0.7463566222264904,0.13162012638763487,0.04069960294197639,-0.5740368928968791
21-1015.00,-0.00013304848287421233,-0.7951590952556673,0.13987339033872237,0.046139683756342365,-0.6091460211606026
21-1021.00,-0.0003862001247087847,-0.6527015958167701,0.06473781508053822,0.04790076268216614,-0.5400630180540658
21-1022.00,-0.000508620158854775,-0.963862038470404,0.16493602903040605,0.04798993016331554,-0.7509360792766824
21-1023.00,-0.0002566041106610772,-0.7383298629612058,0.19316342172369128,0.035628741894198956,-0.5095376993433156
21-1091.00,-0.000228553875044433,-0.9120918034622121,0.3597527201075734,0.019787067814243997,-0.5325520155403947
21-1092.00,-5.623431127792792e-05,-0.6430480131073719,0.07937479140038839,0.04294549502992684,-0.5207277266770567
21-1093.00,-9.262276075967931e-05,-0.5556726005211985,0.031791972752479136,0.04823966162660431,-0.47564096614211504
21-1094.00,-0.00016637715112555377,-0.7340720402451324,0.23752808915193535,0.01938522878288751,-0.47715872231030954
21-2011.00,8.523518776251237e-05,-0.08203489682151144,-0.031740775510023855,0.032904578721091315,-0.08087109361044398
21-2021.00,-2.825070205315141e-06,-0.2847485336414506,0.043507424715515164,0.0263603070091456,-0.21488080191678982
23-1011.00,-0.0009842932906073826,-1.0128750127536483,0.1034047462806591,0.09782391667290646,-0.8116463498000828
23-1012.00,-1.2782285214239529e-05,-0.5716238941527125,0.17790575935457253,0.02383066553248714,-0.36988746926565286
23-1021.00,-4.264337096637077e-05,-1.230247825380253,0.12139512442883671,0.06106849449587859,-1.0477842064555376
23-1022.00,-1.2882988301150353e-05,-0.8499923107197764,0.029169807036274698,0.047386493673085894,-0.7734360100104158
23-1023.00,1.3125053514875996e-05,-0.3588701966579353,0.02632883343994452,0.05156561522629488,-0.2809757479916959
23-2011.00,-0.00024880646924849235,-0.7492642804640961,0.022327150625736536,0.04548372970468817,-0.6814534001336714
23-2093.00,-0.00012236334517266425,-0.8644227057980558,0.2045481348108953,0.01879834708822381,-0.6410762238989367
