t,A_K,U_tot_theta1,U_tot_theta3,U_tot_theta8,U_tot_theta15
3.920000000000000284e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.940000000000000568e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.960000000000000142e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
3.980000000000000426e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.000000000000000000e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.020000000000000284e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.040000000000000568e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.060000000000000142e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.080000000000000426e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.100000000000000000e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.120000000000000284e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.140000000000000568e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.160000000000000142e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.180000000000000426e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.200000000000000000e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.220000000000000284e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.240000000000000568e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.260000000000000142e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.280000000000000426e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.300000000000000000e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.320000000000000284e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.340000000000000568e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.360000000000000142e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.380000000000000426e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.400000000000000000e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.420000000000000284e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.440000000000000568e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.460000000000000142e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.480000000000000426e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.500000000000000000e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.520000000000000284e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.540000000000000568e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
4.560000000000000142e+01,6.031868353341233169e-01,2.796879405483532537e-21,-3.695835590696196258e-23,-3.002742490241942760e-24,4.332711474107824233e-15
