soc2018,year,wage_hourly,wage_source,tot_emp,n_soc2000,one_to_one
37-3011,1999,8.48,H_MEDIAN,739460.0,1,True
37-3012,1999,10.809999999999999,H_MEDIAN,23440.0,1,True
37-3013,1999,10.73,H_MEDIAN,47890.0,1,True
39-1013,1999,14.094471442650924,H_MEDIAN,40110.0,2,False
39-1014,1999,12.47,H_MEDIAN,84610.0,1,False
39-1022,1999,12.47,H_MEDIAN,84610.0,1,False
39-2011,1999,11.089999999999998,H_MEDIAN,5900.0,1,True
39-2021,1999,7.499999999999999,H_MEDIAN,84760.0,1,True
39-3011,1999,6.199999999999999,H_MEDIAN,87390.0,1,True
39-3012,1999,7.529999999999999,H_MEDIAN,8390.0,1,True
39-3021,1999,7.33,H_MEDIAN,8610.0,1,True
39-3031,1999,6.26,H_MEDIAN,88590.0,1,True
39-3091,1999,6.55,H_MEDIAN,190600.0,1,True
39-3092,1999,9.929999999999998,H_MEDIAN,5860.0,1,True
39-4011,1999,14.090000000000002,H_MEDIAN,6670.0,1,True
39-4021,1999,7.7,H_MEDIAN,24970.0,1,True
39-4031,1999,17.749999999999996,H_MEDIAN,23740.0,1,False
39-5011,1999,8.91,H_MEDIAN,14150.0,1,True
39-5012,1999,8.33,H_MEDIAN,314750.0,1,True
39-5091,1999,10.6,H_MEDIAN,1170.0,1,True
39-5092,1999,6.699999999999999,H_MEDIAN,23540.0,1,True
39-5093,1999,6.29,H_MEDIAN,13580.0,1,True
39-5094,1999,8.869999999999997,H_MEDIAN,11910.0,1,True
39-6011,1999,6.84,H_MEDIAN,59580.0,1,True
39-6012,1999,9.439999999999998,H_MEDIAN,16440.0,1,True
39-7011,1999,8.46,H_MEDIAN,35780.0,1,True
39-7012,1999,12.0,H_MEDIAN,4180.0,1,True
39-9011,1999,6.910000000000003,H_MEDIAN,377110.0,1,True
39-9031,1999,10.839999999999998,H_MEDIAN,127310.0,1,True
39-9032,1999,7.900000000000002,H_MEDIAN,245180.0,1,True
39-9041,1999,9.21,H_MEDIAN,43260.0,1,True
41-1011,1999,12.91,H_MEDIAN,1237050.0,1,True
41-1012,1999,21.570000000000004,H_MEDIAN,302870.0,1,True
41-2011,1999,6.680000000000001,H_MEDIAN,3162090.0,1,True
41-2012,1999,8.599999999999998,H_MEDIAN,40390.0,1,True
41-2021,1999,7.160000000000001,H_MEDIAN,392560.0,1,True
41-2022,1999,10.920000000000002,H_MEDIAN,265380.0,1,True
41-2031,1999,7.660000000000002,H_MEDIAN,3729040.0,1,True
41-3011,1999,15.929999999999998,H_MEDIAN,142830.0,1,True
41-3021,1999,18.61,H_MEDIAN,241730.0,1,True
41-3031,1999,28.630000000000003,H_MEDIAN,249660.0,1,True
41-3041,1999,11.250000000000002,H_MEDIAN,111130.0,1,True
41-4011,1999,22.089999999999993,H_MEDIAN,341930.0,1,True
41-4012,1999,17.91,H_MEDIAN,1315900.0,1,True
41-9011,1999,8.559999999999999,H_MEDIAN,95160.0,1,True
41-9012,1999,8.370000000000001,H_MEDIAN,5220.0,1,True
41-9021,1999,24.220000000000002,H_MEDIAN,26760.0,1,True
41-9022,1999,13.25,H_MEDIAN,107680.0,1,True
41-9031,1999,26.12999999999999,H_MEDIAN,93620.0,1,True
41-9041,1999,8.91,H_MEDIAN,485650.0,1,True
41-9091,1999,11.510000000000002,H_MEDIAN,36130.0,1,True
43-1011,1999,15.929999999999998,H_MEDIAN,1312630.0,1,True
43-2011,1999,9.11,H_MEDIAN,248570.0,1,True
43-2021,1999,13.660000000000002,H_MEDIAN,50820.0,1,True
43-2099,1999,11.199999999999998,H_MEDIAN,3290.0,1,False
43-3011,1999,11.319999999999999,H_MEDIAN,383090.0,1,True
43-3021,1999,11.000000000000002,H_MEDIAN,551410.0,1,True
43-3031,1999,11.53,H_MEDIAN,1619870.0,1,True
