onet_code,aise,rse,job_zone,complementarity
13-2099.04,0.3089770354906054,0.1904761904761904,4.0,0.6072222222222222
15-1211.00,0.8465553235908142,0.8095238095238095,3.0,0.5361111111111111
15-1211.01,0.1482254697286012,0.1309523809523809,4.0,0.6236111111111111
15-1212.00,0.4311064718162839,0.4642857142857143,4.0,0.5411111111111111
15-1221.00,0.5563674321503131,0.5476190476190477,5.0,0.5744444444444443
15-1231.00,0.0991649269311064,0.1785714285714285,4.0,0.5738888888888889
15-1232.00,0.8674321503131524,0.7619047619047619,3.0,0.5880555555555556
15-1241.00,0.5083507306889353,0.5,4.0,0.5475
15-1241.01,0.0678496868475991,0.2857142857142857,3.0,0.5591666666666666
15-1242.00,0.8475991649269311,0.7261904761904762,4.0,0.5280555555555555
15-1243.00,0.4258872651356993,0.4166666666666667,4.0,0.5355555555555557
15-1243.01,0.6064718162839249,0.4761904761904761,4.0,0.4827777777777777
15-1244.00,0.2526096033402922,0.4761904761904761,4.0,0.5222222222222223
15-1251.00,0.8716075156576201,0.8571428571428571,4.0,0.4672222222222222
15-1252.00,0.8319415448851775,0.7261904761904762,,
15-1253.00,0.7473903966597077,0.7738095238095238,4.0,0.5452777777777778
15-1254.00,0.7359081419624217,0.6785714285714286,3.0,0.4783333333333333
15-1255.00,0.6764091858037579,0.5476190476190477,,
15-1255.01,0.0480167014613778,0.0833333333333333,4.0,0.5036111111111111
15-1299.00,0.9551148225469728,0.9523809523809524,,
15-1299.01,0.7056367432150313,0.5833333333333334,4.0,0.538888888888889
15-1299.02,0.2233820459290187,0.2857142857142857,4.0,0.5461111111111111
15-1299.03,0.2933194154488517,0.2619047619047619,4.0,0.5483333333333333
15-1299.04,0.0605427974947807,0.119047619047619,,
15-1299.05,0.4697286012526096,0.4880952380952381,,
15-1299.06,0.2212943632567849,0.2023809523809523,,
15-1299.07,0.0521920668058455,0.0714285714285714,,
15-1299.08,0.7588726513569938,0.6904761904761905,4.0,0.5786111111111112
15-1299.09,0.6816283924843424,0.5,4.0,0.6136111111111111
15-2011.00,0.2004175365344467,0.119047619047619,4.0,0.4977777777777777
15-2021.00,0.4801670146137787,0.3928571428571428,5.0,0.5277777777777777
15-2031.00,0.8705636743215032,0.8095238095238095,5.0,0.5636111111111111
15-2041.00,0.8423799582463466,0.75,5.0,0.5108333333333334
15-2041.01,0.0908141962421711,0.0714285714285714,5.0,0.5413888888888889
15-2051.00,0.9331941544885176,0.8095238095238095,,
15-2051.01,0.8663883089770354,0.6666666666666666,4.0,0.4944444444444443
15-2051.02,0.3903966597077244,0.369047619047619,4.0,0.5063888888888889
15-2099.00,0.8298538622129437,0.75,,
15-2099.01,0.2484342379958246,0.1904761904761904,4.0,0.5502777777777778
17-1011.00,0.0177453027139874,0.0357142857142857,5.0,0.6347222222222223
17-1012.00,0.0125260960334029,0.0357142857142857,4.0,0.5988888888888889
17-1021.00,0.4321503131524008,0.6547619047619048,4.0,0.5566666666666666
17-1022.00,0.1075156576200417,0.3333333333333333,4.0,0.6786111111111112
17-1022.01,0.0751565762004175,0.1666666666666666,4.0,0.6052777777777777
17-2011.00,0.0167014613778705,0.1547619047619047,4.0,0.5497222222222223
17-2021.00,0.0511482254697286,0.4404761904761904,4.0,0.6375
17-2031.00,0.2254697286012526,0.5357142857142857,4.0,0.5666666666666667
17-2041.00,0.0208768267223382,0.1071428571428571,4.0,0.6477777777777779
17-2051.00,0.0313152400835073,0.2261904761904762,4.0,0.6111111111111112
17-2051.01,0.0469728601252609,0.1309523809523809,4.0,0.6219444444444445
17-2051.02,0.0417536534446764,0.1666666666666666,4.0,0.5883333333333334
17-2061.00,0.6315240083507306,0.7380952380952381,4.0,0.5469444444444443
17-2071.00,0.068893528183716,0.5595238095238095,4.0,0.6305555555555555
17-2072.00,0.1210855949895615,0.6071428571428571,4.0,0.5058333333333334
17-2072.01,0.0375782881002087,0.2142857142857142,4.0,0.5622222222222222
17-2081.00,0.1054279749478079,0.4047619047619047,4.0,0.611111111111111
17-2111.00,0.0866388308977035,0.5238095238095238,4.0,0.6555555555555556
17-2111.02,0.0584551148225469,0.1547619047619047,4.0,0.5852777777777778
17-2112.00,0.2912317327766179,0.7023809523809523,4.0,0.6358333333333334
17-2112.01,0.1377870563674321,0.3571428571428571,5.0,0.6469444444444444
17-2112.02,0.0991649269311064,0.5238095238095238,4.0,0.5766666666666667
17-2112.03,0.0845511482254697,0.6071428571428571,4.0,0.6205555555555556
17-2121.00,0.0031315240083507,0.0238095238095238,4.0,0.6211111111111112
17-2131.00,0.0553235908141962,0.4761904761904761,4.0,0.601388888888889
17-2141.00,0.1294363256784968,0.7380952380952381,4.0,0.6261111111111112
17-2141.01,0.0062630480167014,0.0119047619047619,4.0,0.5652777777777778
17-2141.02,0.0490605427974947,0.3809523809523809,4.0,0.615
17-2151.00,0.0219206680584551,0.1547619047619047,4.0,0.6005555555555555
17-2161.00,0.0052192066805845,0.0238095238095238,4.0,0.61
17-2171.00,0.0250521920668058,0.1071428571428571,4.0,0.6088888888888889
17-2199.00,0.9050104384133612,0.9285714285714286,,
17-2199.03,0.0908141962421711,0.2857142857142857,4.0,0.5888888888888889
17-2199.05,0.7870563674321504,0.8690476190476191,4.0,0.5761111111111111
17-2199.06,0.0187891440501043,0.3214285714285714,5.0,0.62
17-2199.07,0.0939457202505219,0.3214285714285714,4.0,0.5569444444444444
17-2199.08,0.407098121085595,0.8095238095238095,4.0,0.6438888888888888
17-2199.09,0.0490605427974947,0.2261904761904762,5.0,0.6452777777777778
17-2199.10,0.0083507306889352,0.0357142857142857,4.0,0.5272222222222223
17-2199.11,0.0448851774530271,0.1309523809523809,4.0,0.6527777777777779
17-3011.00,0.0260960334029227,0.0952380952380952,3.0,0.53
17-3012.00,0.0438413361169102,0.3809523809523809,3.0,0.5155555555555557
